대분류,자치구,연도,발생량,재활용_합계,재활용,음식물,소각,매립,기타
계,성북구,2021,136000.0,100565.0,68936.0,31629.0,31140.0,3620.0,675.0
계,성북구,2022,125909.0,85083.0,51634.0,33449.0,29930.0,3031.0,7865.0
계,성북구,2023,123724.0,83204.0,49463.0,33741.0,38734.0,1421.0,365.0
계,성북구,2024,117738.0,87203.0,55025.0,32178.0,28119.0,1972.0,445.0
계,송파구,2020,266247.0,198010.0,121708.0,76302.0,35498.0,32302.0,438.0
계,송파구,2021,253209.0,173237.0,100368.0,72869.0,40967.0,31434.0,7571.0
계,송파구,2022,301830.0,177052.0,105291.0,71761.0,39669.0,33624.0,51485.0
계,송파구,2023,262182.0,156087.0,87724.0,68363.0,39356.0,24918.0,41821.0
계,송파구,2024,268890.0,162401.0,96844.0,65558.0,48885.0,14789.0,42814.0
계,양천구,2020,144360.0,104623.0,72041.0,32582.0,33003.0,6734.0,
계,양천구,2021,128894.0,86602.0,54322.0,32280.0,30053.0,10819.0,1420.0
계,양천구,2022,123688.0,80582.0,47876.0,32706.0,33872.0,6324.0,2911.0
계,양천구,2023,115678.0,78725.0,48748.0,29977.0,29907.0,6779.0,266.0
계,양천구,2024,121756.0,72237.0,42695.0,29542.0,33545.0,6453.0,9522.0
계,영등포구,2020,164492.0,108772.0,58838.0,49934.0,44477.0,9801.0,1442.0
계,영등포구,2021,161206.0,112103.0,64107.0,47997.0,32519.0,14311.0,2274.0
계,영등포구,2022,167303.0,113275.0,65114.0,48162.0,39621.0,13033.0,1375.0
계,영등포구,2023,166688.0,114964.0,66360.0,48604.0,40194.0,10454.0,1076.0
계,영등포구,2024,158377.0,106906.0,60696.0,46210.0,42491.0,7829.0,1150.0
계,용산구,2020,110255.0,72190.0,48882.0,23308.0,28417.0,9575.0,73.0
계,용산구,2021,107173.0,68334.0,45669.0,22665.0,29489.0,9113.0,237.0
계,용산구,2022,216363.0,178471.0,153510.0,24960.0,31172.0,6511.0,209.0
계,용산구,2023,208742.0,171993.0,149004.0,22989.0,31658.0,4979.0,111.0
계,용산구,2024,103895.0,67515.0,42197.0,25318.0,32618.0,3506.0,257.0
계,은평구,2020,139243.0,81603.0,52496.0,29107.0,19271.0,38299.0,71.0
계,은평구,2021,138304.0,83540.0,55091.0,28450.0,14275.0,40420.0,69.0
계,은평구,2022,128783.0,72461.0,44847.0,27614.0,16763.0,38861.0,698.0
계,은평구,2023,123761.0,74038.0,47526.0,26512.0,16353.0,33351.0,20.0
계,은평구,2024,127441.0,72827.0,46712.0,26115.0,24803.0,29811.0,
계,종로구,2020,96692.0,56165.0,28337.0,27828.0,30536.0,9466.0,525.0
계,종로구,2021,83878.0,45404.0,20135.0,25269.0,30427.0,7518.0,529.0
계,종로구,2022,104369.0,62003.0,33722.0,28281.0,35421.0,6635.0,310.0
계,종로구,2023,97419.0,54632.0,25469.0,29163.0,35774.0,5645.0,1368.0
계,종로구,2024,98887.0,58688.0,29130.0,29559.0,35903.0,3869.0,427.0
계,중구,2020,130842.0,72461.0,43148.0,29313.0,47006.0,11375.0,
계,중구,2021,108816.0,50113.0,21472.0,28641.0,48862.0,9611.0,229.0
계,중구,2022,118766.0,66571.0,31899.0,34672.0,43571.0,8318.0,306.0
계,중구,2023,132481.0,78731.0,41777.0,36954.0,45292.0,6595.0,1862.0
계,중구,2024,133576.0,85767.0,47751.0,38016.0,41851.0,4641.0,1318.0
계,중랑구,2020,123561.0,82943.0,51207.0,31736.0,33840.0,6778.0,
계,중랑구,2021,105213.0,64188.0,33497.0,30691.0,33476.0,7527.0,23.0
계,중랑구,2022,104375.0,63404.0,32872.0,30532.0,33253.0,6819.0,900.0
계,중랑구,2023,96847.0,57284.0,28112.0,29172.0,35055.0,4233.0,275.0
계,중랑구,2024,107223.0,66826.0,37464.0,29362.0,37416.0,2942.0,39.0
