시군명,사업장명,전화번호,처리업종구분명,처리대상폐기물정보,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
가평군,에버그린,,①ⓐ,,12419,경기도 가평군 가평읍 읍내리 413-2번지 1층,"경기도 가평군 보납로 42-1, 1층",37.83093256,127.5152617
가평군,우경환경,,①ⓐ,,12438,경기도 가평군 조종면 현리 477-170번지,경기도 가평군 조종면 청군로 1191,37.81147058,127.351457
가평군,태민환경,,①ⓐ,,12418,경기도 가평군 가평읍 읍내리 467-4번지 2층,"경기도 가평군 가평읍 보납로 22, 2층",37.83081567,127.5129207
가평군,하늘자원,,①ⓐ,,12437,경기도 가평군 조종면 현리 262-52번지,경기도 가평군 조종면 현창로 44번길 15-1,37.82003892,127.3489515
가평군,유정환경,,①ⓐ,,12437,경기도 가평군 조종면 현리 324-8번지 삼미타운 102호,"경기도 가평군 조종면 현창로 71, 102호",37.82027873,127.3462128
가평군,㈜데일리환경,,①ⓐ,,12418,경기도 가평군 가평읍 읍내리 468-45번지 2층 214호,"경기도 가평군 가평읍 보납로 18번길 14, 2층 214호",37.82968903,127.5128182
가평군,주식회사 산내들환경,,①ⓐ,,12418,경기도 가평군 가평읍 읍내리 491-4번지 2층,"경기도 가평군 가평읍 연인2길 12-16, 2층",37.83045527,127.511682
가평군,가평나인고물상폐기물,,①ⓐ,,12427,경기도 가평군 가평읍 이화리 238번지,경기도 가평군 가평읍 호반로 2332-1,37.79824201,127.5129945
가평군,상면자원,031-585-6858,①ⓐ,,12441,경기도 가평군 상면 율길리 242-1번지,경기도 가평군 상면 수역길 43-111,37.82592859,127.2924197
가평군,성심환경,,①ⓐ,,12418,경기도 가평군 가평읍 읍내리 468-45번지 2층 204호,"경기도 가평군 가평읍 보납로 18번길 14, 2층 204호",37.82968903,127.5128182
가평군,에이엠통상,031-582-0094,①ⓑ,,12424,경기도 가평군 가평읍 하색리 289-1번지,경기도 가평군 가평읍 경춘로 2017,37.81272693,127.4986367
가평군,근주산업,,①ⓑ,,12432,경기도 가평군 조종면 운악리 185-19번지,경기도 가평군 조종면 명지산로 46-51,37.87798242,127.3621147
가평군,옥무역,,①ⓑ,,12437,경기도 가평군 조종면 현리 324-8번지 삼미타운 201호,"경기도 가평군 조종면 현창로 71, 201호",37.82027873,127.3462128
가평군,다우컴퍼니,,①ⓒ,,12449,경기도 가평군 청평면 상천리 1134번지 청평하나휴게소,"경기도 가평군 청평면 경춘로 1234, 청평하나휴게소 가동",37.76705442,127.447885
가평군,H&K물산,031-582-8982,②ⓔ,,12426,경기도 가평군 가평읍 상색리 373-3번지,경기도 가평군 가평읍 상천고갯길 213,37.79103739,127.470186
가평군,봉수자원,,⑤,,12440,경기도 가평군 상면 봉수리 241-1번지,경기도 가평군 상면 봉수로150번길 39-10,37.86277669,127.2938171
가평군,㈜협신,031-585-5511,⑦,,12440,경기도 가평군 상면 봉수리 15-2번지,경기도 가평군 상면 물골길 84-50,37.83621955,127.3184613
가평군,㈜맑음그린,031-585-0708,⑧,,12440,경기도 가평군 상면 봉수리 237번지,경기도 가평군 상면 봉수로 137-103,37.86379842,127.2905514
가평군,예가네농장,,⑧,,12470,경기도 가평군 설악면 엄소리 411-1번지,경기도 가평군 설악면 엄소속골길 43-72,37.65224389,127.4842876
가평군,다현농장,,⑧,,12442,경기도 가평군 상면 원흥리 165-10번지,경기도 가평군 상면 청군로 1407-329,37.82040567,127.3335096
가평군,㈜가남환경,031-581-3813,⑨,,12426,경기도 가평군 가평읍 상색리 349번지,경기도 가평군 가평읍 상천고갯길 244,37.79220966,127.4724458
가평군,(주)엘에스무역,031-793-0322,⑤,,12470,"경기도 가평군 설악면 엄소리 413-4번지 413-4,5,6,8","경기도 가평군 설악면 엄소리 413-4번지 413-4,5,6,8",37.65229811,127.4853645
고양시,(주)정원산업,031-977-8932,①ⓐ,,10402,경기도 고양시 일산동구 장항동 863-2번지 일호골든타워 501호,"경기도 고양시 일산동구 정발산로 11, 501호 (장항동, 일호골든타워)",37.65655804,126.7701842
고양시,주식회사 에시온트레이드,,⑧,,10455,경기도 고양시 덕양구 성사동 740-3번지 보훈회관,"경기도 고양시 덕양구 호국로 755, 보훈회관",37.65474151,126.8333134
고양시,재활용협동조합,,⑧,,10462,경기도 고양시 덕양구 주교동 623-15번지,경기도 고양시 덕양구 마상로134번길 4,37.65954149,126.837386
고양시,구제나라,,⑧,,10274,경기도 고양시 덕양구 고양동 176-27번지,경기도 고양시 덕양구 혜음로 58-23,37.70616762,126.9033369
고양시,CAMEKO,,⑧,,10508,경기도 고양시 덕양구 토당동 53-44번지 능곡2차현대홈타운,경기도 고양시 덕양구 능곡로13번길 16,37.62233348,126.8213306
고양시,옹달샘,,⑧,,10544,경기도 고양시 덕양구 덕은동 236번지,경기도 고양시 덕양구 제2자유로 26,37.58249311,126.8766451
고양시,㈜대진산업환경,,⑧,,10500,경기도 고양시 덕양구 화정동 977번지 4층 60-26호,"경기도 고양시 덕양구 화신로 260번길 36, 4층 60-26호",37.63215291,126.8330846
고양시,드림리사이클링,,⑧,,10540,경기도 고양시 덕양구 현천동 240번지,경기도 고양시 덕양구 대덕로156번길 19-72,37.59687014,126.8615949
고양시,하나산업,,⑧,,10554,경기도 고양시 덕양구 도내동 225-2번지,경기도 고양시 덕양구 흥도로70번길 117-30,37.61930379,126.8698676
고양시,태성자원,,⑧,,10532,경기도 고양시 덕양구 행신동 793번지 소만마을9단지아파트,경기도 고양시 덕양구 소만로 48,37.61716176,126.843983
고양시,서원환경,031-967-6623,⑧,,10456,경기도 고양시 덕양구 대장동 193-5번지,경기도 고양시 덕양구 대장길 56-5,37.64104895,126.8188708
고양시,보물섬,,⑧,,10513,경기도 고양시 덕양구 행신동 634-66번지,경기도 고양시 덕양구 행신로143번길 68,37.62224679,126.8314053
고양시,에이치엠자원,,①ⓑ,,10510,경기도 고양시 덕양구 토당동 373-10번지 3층,"경기도 고양시 덕양구 지도로 57, 3층 (토당동)",37.62231473,126.824345
고양시,무진환경,,①ⓑ,,10510,경기도 고양시 덕양구 토당동 373-10번지 3층 441호,"경기도 고양시 덕양구 지도로 57, 3층 441호 (토당동)",37.62231473,126.824345
고양시,(주)그린씨앤에스,031-921-4301,①ⓐ,,10208,경기도 고양시 일산서구 가좌동 969번지 율리프라자 103호,"경기도 고양시 일산서구 송산로 331, 103호 (가좌동, 율리프라자)",37.68390623,126.7157512
고양시,(주)내셔널오렌지,031-963-4241,①ⓐ,,10265,경기도 고양시 덕양구 관산동 685-79번지 A동 105호,"경기도 고양시 덕양구 통일로 1032, 에이동 105호 (관산동)",37.70821867,126.8563185
고양시,㈜성실종합자원,031-976-3755,⑧,,10313,경기도 고양시 일산동구 문봉동 259-4번지,경기도 고양시 일산동구 진밭로 70번길 284 (문봉동),37.69716463,126.817178
고양시,㈜동화자원개발,031-962-4244,⑧,,10313,경기도 고양시 일산동구 문봉동 106-2번지,경기도 고양시 일산동구 견달산로 365 (문봉동),37.6987064,126.8203854
고양시,대동상사,031-969-0441,⑧,,10256,경기도 고양시 일산동구 지영동 3-5번지,경기도 고양시 일산동구 공릉천로 305 (지영동),37.71824493,126.8374421
고양시,기석무역,031-967-4676,⑧,,10317,경기도 고양시 일산동구 식사동 1140번지,경기도 고양시 일산동구 견달산로 267 (식사동),37.68992876,126.8190364
고양시,고양한우영농조합법인,031-963-6706,⑧,,10255,경기도 고양시 일산동구 지영동 593번지,경기도 고양시 일산동구 공릉천로 384-87 (지영동),37.72619386,126.8325259
고양시,명성자원,,⑧,,10251,경기도 고양시 일산동구 성석동 1060번지,"경기도 고양시 일산동구 고봉로 702번길 105-30 나동,다동 (성석동)",37.71745786,126.79498
고양시,대광,,⑧,,10317,경기도 고양시 일산동구 식사동 1144번지,경기도 고양시 일산동구 견달산로 261 (식사동),37.689263,126.8192467
고양시,㈜청솔씨앤티,031-976-8282,⑧,,10254,경기도 고양시 일산동구 설문동 103-1번지,경기도 고양시 일산동구 일산동구 문원길 102번길 111,37.71920711,126.8227738
고양시,주식회사 보은리사이클링,031-975-6986,⑧,,10256,경기도 고양시 일산동구 지영동 382-41번지,경기도 고양시 일산동구 지영로 100번길 12-21 (지영동),37.70744081,126.8236297
고양시,태진산업,031-977-3615,⑧,,10256,경기도 고양시 일산동구 지영동 649번지 제4동,"경기도 고양시 일산동구 공릉천로 355번길 82, 제4동 (지영동)",37.71820351,126.8317012
고양시,형제자원,,⑧,,10256,경기도 고양시 일산동구 지영동 366번지 가동,경기도 고양시 일산동구 지영로 58-44 가동 (지영동),37.70727095,126.8254464
고양시,수성R.C,031-975-2614,⑧,,10254,경기도 고양시 일산동구 설문동 325번지,경기도 고양시 일산동구 공릉천로 493번길 43 (설문동),37.72377618,126.8179777
고양시,뉴스타무역,031-977-9363,⑧,,10256,경기도 고양시 일산동구 지영동 380번지,경기도 고양시 일산동구 지영로 100번길 18 (지영동),37.70931942,126.8243046
고양시,㈜진녹,031-964-8744,⑧,,10256,경기도 고양시 일산동구 사리현동 373-4번지,경기도 고양시 일산동구 공릉천로 209-81  (사리현동),37.7112449,126.838015
고양시,㈜거상자원,031-905-6126,⑧,,10428,경기도 고양시 일산동구 장항동 544-8번지,경기도 고양시 일산동구 장대길 160-10 (장항동),37.64205963,126.7606802
고양시,㈜크린자원산업,031-975-9595,⑧,,10256,경기도 고양시 일산동구 지영동 43번지,경기도 고양시 일산동구 지영로 196번길 183 (지영동),37.71286108,126.8353117
고양시,다주자원,031-949-5202,⑧,,10257,경기도 고양시 일산동구 문봉동 168-20번지 가동,"경기도 고양시 일산동구 문봉길 8, 가동 (문봉동)",37.70317912,126.8223298
고양시,디에스케이무역,,⑧,,10252,경기도 고양시 일산동구 성석동 517-12번지,경기도 고양시 일산동구 은마길 63번길 25-48 (성석동),37.71281485,126.8038736
고양시,㈜푸른솔환경,031-905-7900,⑧,,10432,경기도 고양시 일산동구 장항동 601-3번지,경기도 고양시 일산동구 장항로 203-22 (장항동),37.63886951,126.775299
고양시,㈜개성,031-963-4810,⑧,,10255,경기도 고양시 일산동구 지영동 1041번지,경기도 고양시 일산동구 통일로 1267번길 143-115 (지영동),37.72038219,126.8392499
고양시,주식회사 와우,031-977-3047,⑧,,10256,경기도 고양시 일산동구 지영동 380-1번지,경기도 고양시 일산동구 지영로100번길 16 (지영동),37.7089416,126.8244329
고양시,고양재활용 주식회사,031-975-6986,⑧,,10256,경기도 고양시 일산동구 지영동 382-40번지,경기도 고양시 일산동구 지영로100번길 12-23 (지영동),37.70738472,126.8232785
고양시,다복자원,031-977-0652,⑧,,10252,경기도 고양시 일산동구 설문동 517-1번지 50,"경기도 고양시 일산동구 은마길63번길58, 50 (설문동)",37.71408091,126.8045879
고양시,㈜고양종합폐차장,031-977-5544,⑧,,10252,경기도 고양시 일산동구 성석동 1042-4번지,경기도 고양시 일산동구 성현로 135번안길 108 (성석동 1042-4),37.71341684,126.8005096
고양시,우민리싸이클링,02-3158-1759,⑧,,10317,경기도 고양시 일산동구 식사동 1157번지,경기도 고양시 일산동구 견달산로 225번길 26-16 (식사동 1157),37.68718784,126.81888
고양시,비스크린㈜,031-976-5411,⑧,,10333,경기도 고양시 일산동구 중산동 1571번지 가든프라자 703호,경기도 고양시 일산동구 탄중로 326-16 (중산동1571 가든프라자703호),37.6925233,126.780868
고양시,크린라이프,,⑧,,10422,경기도 고양시 일산동구 장항동 902번지 대우로얄마트 1154호,"경기도 고양시 일산동구 중앙로 1129, 1154호 (장항동 대우로얄마트)",37.64892568,126.7792822
고양시,인선이엔티㈜,031-930-3322,⑤,,10317,경기도 고양시 일산동구 식사동 725-1번지,경기도 고양시 일산동구 동국로 240 (식사동),37.68943412,126.813007
고양시,우민리싸이클링,02-3158-1759,⑤,,10317,경기도 고양시 일산동구 식사동 1157번지,경기도 고양시 일산동구 견달산로225번길 26-16 (식사동),37.68718784,126.81888
고양시,㈜원창에코,031-915-5111,⑤,,10228,경기도 고양시 일산서구 덕이동 656-3번지,경기도 고양시 일산서구 장자길118번길 69-113 (덕이동),37.70506549,126.7413706
고양시,송정수지,031-977-6634,⑤,,10252,경기도 고양시 일산동구 설문동 515-5번지,경기도 고양시 일산동구 은마길63번길 25-9 (설문동),37.71331944,126.8069095
고양시,㈜푸를청,031-976-7274,⑤,,10252,경기도 고양시 일산동구 성석동 517-18번지,경기도 고양시 일산동구 은마길63번길 25-71 (성석동),37.71191043,126.8033488
고양시,㈜크린자원산업,031-975-9595,⑤,,10256,경기도 고양시 일산동구 지영동 43번지,경기도 고양시 일산동구 지영로196번길 183 (지영동),37.71286108,126.8353117
고양시,㈜더원리싸이클링,031-967-0571,⑤,,10259,경기도 고양시 일산동구 사리현동 605-2번지,경기도 고양시 일산동구 사리현로 143-2 (사리현동),37.69220654,126.8343732
고양시,㈜세진리싸이클링,070-4333-5258,⑤,,10262,경기도 고양시 덕양구 내유동 374-10번지 2동,"경기도 고양시 덕양구 통일로1031번길 322, 2동 (내유동)",37.71480117,126.8437584
고양시,영동자원산업개발,031-962-2933,⑤,,10252,경기도 고양시 일산동구 설문동 534번지,경기도 고양시 일산동구 은마길185번길 106 (설문동),37.72095982,126.7988161
고양시,주식회사 보은리사이클링,031-975-6986,⑤,,10256,경기도 고양시 일산동구 지영동 363-5번지,경기도 고양시 일산동구 지영로100번길 56 (지영동),37.70880169,126.8251829
고양시,㈜코렌트,,①ⓒ,,10233,경기도 고양시 일산서구 덕이동 370-7번지 2층,"경기도 고양시 일산서구 하이파크1로 90, 2층",37.6968592,126.7576862
고양시,찬스환경,,①ⓒ,,10497,경기도 고양시 덕양구 화정동 966-1번지 화정씨네마플러스 910동 L42호,"경기도 고양시 덕양구 화중로 104번길 28, 910-L42호(화정동, 화정씨네마플러스)",37.63572264,126.833166
고양시,㈜한진산업고양지점,031-979-0461,⑨,,10536,경기도 고양시 덕양구 도내동 707번지,경기도 고양시 덕양구 중앙로 313(도내동),37.61129742,126.8576987
고양시,㈜청명산업,031-962-6866,⑨,,10262,경기도 고양시 덕양구 내유동 378번지,경기도 고양시 덕양구 통일로 1031번길 346(내유동),37.71574498,126.8432962
고양시,베스트환경,,①ⓒ,,10402,경기도 고양시 일산동구 장항동 863-1번지 드림월드빌딩 413호,"경기도 고양시 일산동구 정발산로 15, 413호",37.6564339,126.7705142
고양시,라움환경,,①ⓒ,,10510,경기도 고양시 덕양구 토당동 373-10번지 431호,"경기도 고양시 덕양구 지도로57, 431호",37.62231473,126.824345
고양시,옥산산업,031-944-8287,①ⓒ,,10254,경기도 고양시 일산동구 지영동 209-1번지,경기도 고양시 일산동구 공릉천로 431,37.72328784,126.8255281
고양시,(합자)천일공사,031-938-2777,①ⓐ,,,,경기도 고양시 덕양구 무원로6번길 61405,,
고양시,㈜고양위생공사,031-962-2027,①ⓐ,,10252,경기도 고양시 일산동구 설문동 530-91번지,경기도 고양시 일산동구 은마길79번길 128-15,37.71963962,126.8011319
고양시,㈜원당기업,031-978-8844,①ⓐ,,10500,경기도 고양시 덕양구 화정동 영프라자711,경기도 고양시 덕양구 화정동영프라자711,37.63366162,126.8321078
고양시,(합)수창기업,031-978-7744,①ⓐ,,10256,경기도 고양시 일산동구 지영동 363-8번지,경기도 고양시 일산동구  지영로100번길68,37.70828226,126.8257662
고양시,청안기업(합자),031-975-2338,①ⓐ,,10313,경기도 고양시 일산동구 문봉동 259-19번지,경기도 고양시 일산동구 견달산로369번길 80,37.69683972,126.8171016
고양시,(합)서강기업,031-972-7833,①ⓐ,,10449,경기도 고양시 일산동구 백석동 1324번지 동문타워II 5층 503호,경기도 고양시 일산동구 호수로 358-255층 503호,37.63992725,126.7861698
고양시,그린워크기업(자),031-966-5072,①ⓐ,,10329,경기도 고양시 일산동구 성석동 936-3번지,경기도 고양시 일산동구 중산로 306-198,37.70057348,126.7915214
고양시,㈜벽제개발,031-963-8700,①ⓐ,,10287,경기도 고양시 덕양구 관산동 224-3번지,경기도 고양시 덕양구 통일로771번길 16,37.68688277,126.8643287
고양시,승문기업㈜,031-977-4126,①ⓐ,,10328,경기도 고양시 일산동구 성석동 973-8번지,경기도 고양시 일산동구 성석로 323,37.70453939,126.7945466
고양시,제로이엔텍㈜,031-976-5990,⑤,,10328,경기도 고양시 일산동구 성석동 938-15번지,경기도 고양시 일산동구 성석로 285-40 (성석동),37.70244492,126.7939765
고양시,(주)대운메탈,031-977-1500,⑤,,10256,경기도 고양시 일산동구 지영동 649번지 2동,"경기도 고양시 일산동구 공릉천로355번길 82, 2동 (지영동)",37.71820351,126.8317012
고양시,그린엔텍콤㈜,031-977-6030,⑦,,10252,경기도 고양시 일산동구 설문동 515-9번지,경기도 고양시 일산동구 은마길63번길 25-16 (설문동),37.71319233,126.8052202
고양시,㈜신세기바이오,031-907-3876,⑦,,10313,경기도 고양시 일산동구 성석동 52-11번지,경기도 고양시 일산동구 성현로268번길 95-15 (성석동),37.70167909,126.8154237
고양시,부강자원,031-977-8442,⑦,,10252,경기도 고양시 일산동구 설문동 500-17번지 다동,"경기도 고양시 일산동구 은마길79번길 54-11, 다동 (설문동)",37.71746521,126.8053278
고양시,세림프라스틱,031-963-4407,⑦,,10316,경기도 고양시 일산동구 식사동 229-6번지,경기도 고양시 일산동구 견달산로210번길 56 (식사동),37.68563269,126.8227276
고양시,㈜대일인터내셔널,031-977-9715,⑦,,10314,경기도 고양시 일산동구 문봉동 70-41번지,경기도 고양시 일산동구 성현로 426-45 (문봉동),37.69737167,126.829699
고양시,주식회사 천일에너지고양팩토리,031-969-4420,⑦,,10266,경기도 고양시 덕양구 관산동 17-1번지,경기도 고양시 덕양구 동헌로 127-17 (관산동),37.70826699,126.8719627
고양시,대광그린산업,031-977-5016,⑦,,10252,경기도 고양시 일산동구 설문동 515-29번지,경기도 고양시 일산동구 은마길63번길 15 (설문동),37.71342085,126.8072943
고양시,영동자원산업개발,031-962-2933,⑧,,10252,경기도 고양시 일산동구 설문동 534번지,경기도 고양시 일산동구 은마길 185번길106 (설문동),37.72095982,126.7988161
고양시,㈜한일자원,031-855-6555,⑧,,10314,경기도 고양시 일산동구 문봉동 70-17번지,경기도 고양시 일산동구 성현로 426-41 (문봉동),37.69759661,126.8296289
고양시,세종산업자원㈜,031-977-1300,⑧,,10256,경기도 고양시 일산동구 지영동 369번지,경기도 고양시 일산동구 지영로 36-31 (지영동),37.70622846,126.8259777
고양시,신성리사이클링㈜,031-967-4541,⑧,,10253,경기도 고양시 일산동구 설문동 1240번지,경기도 고양시 일산동구 장진천길 154-2 (설문동),37.72182829,126.8115959
고양시,대영리사이클링㈜,031-977-0574,⑧,,10313,경기도 고양시 일산동구 문봉동 260-1번지,경기도 고양시 일산동구 견달산로 369번길 95 (문봉동),37.6961502,126.8178792
고양시,세종산업자원㈜제2공장,031-977-1386,⑧,,10256,경기도 고양시 일산동구 지영동 374-1번지,경기도 고양시 일산동구 지영로 58-18 (지영동),37.70622074,126.8246277
고양시,㈜동양알씨 고양지점,031-977-8766,⑧,,10251,경기도 고양시 일산동구 설문동 740-4번지,경기도 고양시 일산동구 고봉로 694 (설문동),37.71877133,126.7900659
고양시,㈜삼성리사이클링,031-970-7611,⑧,,10314,경기도 고양시 일산동구 문봉동 99-25번지,경기도 고양시 일산동구 견달산로 318 (문봉동),37.69452214,126.8215806
고양시,㈜위니아북부물류센타,031-977-1535,⑧,,10254,경기도 고양시 일산동구 지영동 413-4번지,경기도 고양시 일산동구 문원길 82-5 (지영동),37.71548761,126.8201527
고양시,천일자원,,⑧,,10300,경기도 고양시 일산동구 풍동 527-13번지,경기도 고양시 일산동구 경의로 256번길 73 (풍동527-13),37.65499141,126.8002078
고양시,고양시 재활용의류 협동조합,,⑧,,10402,경기도 고양시 일산동구 장항동 864-1번지 로얄플라자3 902호,"경기도 고양시 일산동구 중앙로1261번길 59, 902호 로얄플라자3 (장항동)",37.65711809,126.7703828
고양시,보물창고,,⑧,,10300,경기도 고양시 일산동구 풍동 433-3번지 1층,"경기도 고양시 일산동구 고풍로5번길 56, 1층(풍동)",37.65964589,126.7962754
고양시,동국자원,031-964-7383,⑧,,10283,경기도 고양시 덕양구 대자동 298-2번지,경기도 고양시 덕양구 호국로 1387-25,37.68086575,126.8906678
고양시,농업회사법인 씨알소리㈜,031-932-0077,⑧,,10276,경기도 고양시 덕양구 선유동 294번지,경기도 고양시 덕양구 선유길 85-161,37.6865084,126.9084393
고양시,㈜서울메타텍,031-969-5262,⑧,,10265,경기도 고양시 덕양구 관산동 614-8번지,경기도 고양시 덕양구 고골길 116번길 39-45,37.71336125,126.8689244
고양시,㈜하농,02-3158-2611,⑧,,10540,경기도 고양시 덕양구 화전동 646-6번지 한국항공대학교 206호,"경기도 고양시 덕양구 항공대학로 76, 206호",37.5990112,126.8641708
고양시,로뎀자원,,⑧,,10510,,경기도 고양시 덕양구 지도로35번길 45,,
고양시,태양리싸이클링,,⑧,,10547,경기도 고양시 덕양구 동산동 261-3번지,경기도 고양시 덕양구 고양대로 1856-2,37.64198442,126.8858396
고양시,유일자원,,⑧,,10440,경기도 고양시 덕양구 행주외동 18-1번지,경기도 고양시 덕양구 행주산성로116번길 51-34,37.60354129,126.81987
고양시,숲속자원,,⑧,,,,경기도 고양시 덕양구 서오릉로 6631번길 68-139,,
고양시,한일환경,,⑧,,10530,경기도 고양시 덕양구 행신동 785번지 소만마을6단지아파트,경기도 고양시 덕양구 소만로 19,37.61486147,126.8404114
고양시,한빛자원,,⑧,,10271,경기도 고양시 덕양구 벽제동 328번지 삼오빌라트,경기도 고양시 덕양구 벽제동 혜음로 191-10,37.71712169,126.9003784
고양시,석정종합자원,02-3158-3737,⑧,,10541,경기도 고양시 덕양구 현천동 102-2,경기도 고양시 덕양구 현천동 102-2,37.59185448,126.8693159
고양시,정성환경,,⑧,,10542,경기도 고양시 덕양구 현천동 420-1,경기도 고양시 덕양구 현천동 420-1,37.59383517,126.8562313
고양시,태진,,⑧,,10540,경기도 고양시 덕양구 현천동 29-8번지,경기도 고양시 덕양구 대덕로82번길 33-25,37.59508794,126.8721335
고양시,바우환경,,⑧,,10492,경기도 고양시 덕양구 행신동 206번지,경기도 고양시 덕양구 행신로291번길 22,37.62143368,126.8439115
고양시,태진산업,,⑧,,10501,경기도 고양시 덕양구 화정동 952번지 별빛마을8단지아파트,경기도 고양시 덕양구 화신로 298,37.63221063,126.8289588
고양시,청도개발,,⑧,,10542,경기도 고양시 덕양구 현천동 692-40,경기도 고양시 덕양구 현천동 692-40,37.58746083,126.8447334
고양시,서현유통,,⑧,,10511,경기도 고양시 덕양구 토당동 848-11번지,경기도 고양시 덕양구 지도로92번길 31,37.62573896,126.8257759
고양시,혜원유지,,⑧,,10270,경기도 고양시 덕양구 고양동 719번지 푸른마을3단지아파트,경기도 고양시 덕양구 푸른마을로 15,37.71161844,126.9029074
고양시,㈜동림자원,031-964-5238,⑧,,10283,경기도 고양시 덕양구 대자동 298-2번지 가동 1층,"경기도 고양시 덕양구 호국로 1387-25, 가동 1층",37.68086575,126.8906678
고양시,그린,,⑧,,10477,경기도 고양시 덕양구 화정동 906-5번지 제일프라자 303호,"경기도 고양시 덕양구 은빛로 61, 303호(화정동)",37.63792197,126.8347785
고양시,거상자원(주) 지점,031-905-6127,⑧,,10202,경기도 고양시 일산서구 구산동 1527번지,경기도 고양시 일산서구 송산로22번길 15(구산동),37.68298001,126.6815793
고양시,둥지화물,,⑧,,10368,경기도 고양시 일산서구 대화동 2081번지 성저마을7단지건영빌라 708동 301호,"경기도 고양시 일산서구 성저로 47, 708동 301호(대화동)",37.68450701,126.7527511
고양시,조은유통,,⑧,,10212,경기도 고양시 일산서구 덕이동 984-1번지 3동,"경기도 고양시 일산서구 송산로 567-47, 3동(덕이동)",37.69258979,126.7383445
고양시,고양지역자활센터,031-968-8378,⑧,,10235,경기도 고양시 일산서구 덕이동 1537번지 3층,경기도 고양시 일산서구 하이파크3로 75. 3층(덕이동),37.69825974,126.7525337
고양시,예인스틸 주식회사,031-924-0955,⑧,,10228,경기도 고양시 일산서구 덕이동 660번지,경기도 고양시 일산서구 신덕로 98(덕이동),37.70465423,126.74049
고양시,(사)한국지체장애인협회 경기도협회 고양시지회,031-975-0932,⑧,,10353,경기도 고양시 일산서구 일산동 627-4번지 고양시장애인지원센터 3층,"경기도 고양시 일산서구 고양대로 672번길 15-7, 고양시장애인지원센터 3층",37.68356688,126.771031
고양시,주식회사 아재앤세이브에너지,,⑧,,10381,경기도 고양시 일산서구 대화동 2206-1번지 제205-B38호,"경기도 고양시 일산서구 강성로 271, 제205-B38호(대화동)",37.67716071,126.746996
