시설명,소재지도로명주소,소재지지번주소,위도,경도,업종명,전문처리분야명,처리폐기물정보,영업구역,시설·장비명,허가일자,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
(주)서강골재환경,,경기도 성남시 중원구 하대원동 322-7,37.426528,127.147757,폐기물수집및운반업,,40-01-01+40-01-02+40-01-03+40-01-04+40-01-05+40-02-06+40-90-90+40-04-12+40-04-11+40-04-10+40-04-14+4,,,1998-07-18,031-721-5454,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)새한산업,"경기도 성남시 중원구 마지로155번길 25-12, 301호 (하대원동, 대흥에버빌)",,37.428465,127.149138,폐기물수집및운반업,,40-01-01+40-01-02+40-04-14,,,2007-10-23,031-758-1962,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)도시개발,"경기도 성남시 수정구 대왕판교로 988, 3층 (고등동)",,37.428475,127.102213,폐기물수집및운반업,,40-01-01,,,2007-09-12,031-754-4022,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)종합환경,"경기도 성남시 분당구 장미로 189, 매화마을근린상가 103호 (야탑동)",,37.413118,127.142079,폐기물수집및운반업,,40-01-05+40-01-04+40-90-90+40-04-14+40-04-13+40-01-03+40-01-02+40-01-01+40-02-06+40-02-07+40-02-08+4,,,2007-11-09,031-781-6767,경기도 성남시청,2025-12-19,3780000,경기도 성남시
주식회사 모두온,"경기도 성남시 중원구 갈현로 51, 201호(갈현동)",,37.391345,127.076920,폐기물수집및운반업,,51-03-01+51-03-02+51-03-03+51-03-04+51-03-05+51-03-06+51-03-07+51-03-08+51-03-99+51-17-21+51-17-22+5,,,2025-10-20,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
주식회사 하늘환경,"경기도 성남시 분당구 야탑로 251, 다주빌딩 201-2호 (야탑동)",,37.407055,127.146416,폐기물수집및운반업,,51-03-01+51-03-02+51-03-03+51-03-04+51-03-06+51-03-07+51-03-99+51-18-01+51-18-02+51-18-03+51-18-99+5,,,2025-04-29,031-8017-0095,경기도 성남시청,2025-12-19,3780000,경기도 성남시
만능일꾼 김씨네,"경기도 성남시 중원구 둔촌대로101번길 27, 엠타워 C803호(성남동)",,37.432116,127.129799,폐기물수집및운반업,,51-03-01+51-03-02+51-03-06+51-03-07+51-03-99+51-18-01+51-18-02+51-18-03+51-18-99+51-20-21+51-20-23+5,,,2025-04-18,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
㈜더조은환경,"경기도 성남시 수정구 남문로7번길 20-1, 2층 201호 (태평동)",,37.445950,127.127563,폐기물수집및운반업,,51-01-03+51-01-04+51-01-06+51-01-99+51-02-04+51-02-05+51-02-08+51-02-19+51-02-99+51-16-00+51-17-19+5,,,2025-03-26,031-751-2340,경기도 성남시청,2025-12-19,3780000,경기도 성남시
성남그린환경,"경기도 성남시 중원구 둔촌대로 545, B210-104호(상대원동)",,37.432044,127.177375,폐기물수집및운반업,,51-17-29+51-38-01,,,2025-03-20,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
주식회사 더솔,"경기도 성남시 분당구 판교역로192번길 16, 판교타워 703호(삼평동)",,37.397745,127.111433,폐기물수집및운반업,,51-03-01+51-03-02+51-03-03+51-03-04+51-03-05+51-03-06+51-03-07+51-03-08+51-03-99+51-17-29+51-19-00+5,,,2024-11-08,070-7576-1445,경기도 성남시청,2025-12-19,3780000,경기도 성남시
엘에스환경(주),"경기도 성남시 수정구 복정로118번길 27-9, 102호(복정동)",,37.464323,127.129519,폐기물수집및운반업,,51-01-03+51-02-04+51-02-05+51-21-01+51-21-03,,,2024-11-07,031-759-5346,경기도 성남시청,2025-12-19,3780000,경기도 성남시
새길사회적협동조합,"경기도 성남시 분당구 판교로610번길 5, 승덕빌딩 지층 2호",,37.407063,127.140255,폐기물수집및운반업,,51-03-01+51-03-02+51-03-06+51-03-07+51-03-99+51-18-01+51-18-02+51-18-03+51-18-99+51-20-21+51-20-22+5,,,2024-06-28,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
착한일꾼,"경기도 성남시 중원구 둔촌대로101번길 27, 나동 8층 864호",,37.432116,127.129799,폐기물수집및운반업,,51-03-01+51-03-02+51-03-03+51-03-04+51-03-06+51-03-07+51-03-99+51-18-01+51-18-02+51-18-03+51-18-99+5,,,2024-06-14,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
도움E&H,"경기도 성남시 중원구 사기막골로 99, A동 16층 1608호 (상대원동)",,37.438688,127.174180,폐기물수집및운반업,,51-01-01+51-01-02+51-01-99+51-02-19+51-02-99+51-03-99+51-04-99+51-05-99+51-10-01+51-10-99+51-11-01+5,,,2024-01-09,031-766-3574,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)일진기술,"경기도 성남시 분당구 동원북로22번길 3, 1층 (동원동)",,37.346114,127.099040,폐기물수집및운반업,,51-01-01+51-01-02+51-01-03+51-01-08+51-02-01+51-02-02+51-02-03+51-02-04+51-02-05+51-02-06+51-21-01+5,,,2022-11-10,031-752-0814,경기도 성남시청,2025-12-19,3780000,경기도 성남시
성순리사이클링,"경기도 성남시 분당구 매화로 51, 로즈프라자 302-3나호 (야탑동)",,37.412126,127.133621,폐기물수집및운반업,,51-03-01+51-03-02+51-03-03+51-03-04+51-03-07+51-03-99+51-14-00+51-18-01+51-18-02+51-18-03+51-18-99+5,,,2022-04-14,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
용진철강,"경기도 성남시 수정구 대왕판교로 1283, 2층 201호 (오야동)",,37.454588,127.106486,폐기물수집및운반업,,51-03-01+51-03-02+51-03-99+51-07-01+51-15-02+51-18-99+51-20-21+51-20-99+51-21-01+51-28-02+51-28-03+5,,,2022-02-24,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)지안로지스,"경기도 성남시 분당구 판교역로192번길 16, 806-A202호 (삼평동)",,37.397745,127.111433,폐기물수집및운반업,,51-20-01+51-20-02+51-20-03+51-20-04+51-20-05+51-20-06+51-20-07+51-20-08+51-20-09+51-20-10+51-20-11+5,,,2020-10-26,031-798-0147,경기도 성남시청,2025-12-19,3780000,경기도 성남시
태성기업,"경기도 성남시 중원구 성남대로1139번길 18, 101호 (성남동)",,37.431502,127.127096,폐기물수집및운반업,,51-03-02,,,2020-03-23,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
그린산업,"경기도 성남시 분당구 새나리로 65, 좌봉 3층 (야탑동)",,37.403713,127.162235,폐기물수집및운반업,,51-27-99,,,2019-12-26,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)신용,"경기도 성남시 중원구 둔촌대로281번길 3, 301호 (하대원동)",,37.429937,127.149195,폐기물수집및운반업,,51-03-01+51-02-04,,,2019-11-27,031-722-3578,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)세창환경,경기도 성남시 수정구 탄천로 687 (태평동),,37.452145,127.119389,폐기물수집및운반업,,51-38-01,,,2019-09-25,031-757-1440,경기도 성남시청,2025-12-19,3780000,경기도 성남시
동양자원,"경기도 성남시 수정구 산성대로 413, 203호 (단대동)",,37.448901,127.158276,폐기물수집및운반업,,51-03-01+51-18-01+51-20-06+51-28-02+51-29-01+51-30-02+51-42-00,,,2018-07-13,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
상록수환경(주),"경기도 성남시 수정구 모란로 75-1, 지층 (태평동)",,37.439848,127.125676,폐기물수집및운반업,,51-00-00,,,2017-05-08,031-757-4106,경기도 성남시청,2025-12-19,3780000,경기도 성남시
다온누리(주),"경기도 성남시 분당구 이매로 49, 202호 (이매동, 주영빌딩)",,37.394997,127.126386,폐기물수집및운반업,,51-03-01+51-27-03+51-28-02+51-29-01+51-29-03+51-30-02,,,2016-09-13,031-704-2321,경기도 성남시청,2025-12-19,3780000,경기도 성남시
보성환경,"경기도 성남시 중원구 둔촌대로101번길 27, 807호",,37.432116,127.129799,폐기물수집및운반업,,51-38-01,,,2016-08-05,031-439-2203,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)청계이브이,경기도 성남시 수정구 고산동길 7 (고등동),,37.425218,127.095401,폐기물수집및운반업,,51-02-03+51-02-04+51-02-99+51-16-00+51-20-01+51-20-99+51-21-01+51-27-02+51-28-02+51-28-03+51-29-99+5,,,2016-07-13,031-759-0078,경기도 성남시청,2025-12-19,3780000,경기도 성남시
에코스틸,"경기도 성남시 분당구 돌마로 46, 4층 423호 (구미동)",,37.349695,127.106995,폐기물수집및운반업,,51-03-01+51-03-02+51-14-00+51-16-00+51-17-02+51-18-00+51-27-01+51-27-02,,,2016-05-25,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
영광자원,"경기도 성남시 중원구 둔촌대로101번길 27, 엠타워 B836호",,37.432116,127.129799,폐기물수집및운반업,,51-00-00,,,2015-10-28,031-753-4978,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)보성씨엔알,"경기도 성남시 분당구 탄천상로 164, 비동 604호",,37.344386,127.105428,폐기물수집및운반업,,51-00-00,,,2015-03-27,031-643-2900,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)국진산업,"경기도 성남시 수정구 성남대로1390번길 25-2, b01호 (복정동)",,37.454059,127.129759,폐기물수집및운반업,,51-17-03+51-17-19+51-17-29+51-17-99,,,2015-02-13,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
한빛환경,"경기도 성남시 중원구 원터로 32 (하대원동, 평화빌딩)",,37.430070,127.144722,폐기물수집및운반업,,51-00-00,,,2014-01-07,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)한국환경공사,"경기도 성남시 중원구 둔촌대로 145, 202호 (하대원동)",,37.429280,127.134941,폐기물수집및운반업,,51-00-00,,,2012-04-25,031-754-0231,경기도 성남시청,2025-12-19,3780000,경기도 성남시
다원환경,"경기도 성남시 중원구 사기막골로 99, 에이동 16층 1608호",,37.438688,127.174180,폐기물수집및운반업,,51-00-00,,,2012-04-17,031-762-2574,경기도 성남시청,2025-12-19,3780000,경기도 성남시
대원환경산업(주),"경기도 성남시 중원구 둔촌대로268번길 19, 2층 (하대원동)",,37.427364,127.148716,폐기물수집및운반업,,51-03-01+51-03-02+51-20-21+51-99-00,,,2011-12-30,031-756-2762,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)그린나래,경기도 성남시 분당구 탄천로 247 (야탑동),,37.413516,127.118866,폐기물수집및운반업,,51-00-00,,,2011-10-07,031-707-0980,경기도 성남시청,2025-12-19,3780000,경기도 성남시
경지환경,경기도 성남시 수정구 수정로135번길 17-9 (태평동),,37.443464,127.133859,폐기물수집및운반업,,51-00-00,,,2011-07-29,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
주식회사 장수환경,"경기도 성남시 중원구 제일로 18, 301호 (하대원동)",,37.428894,127.137839,폐기물수집및운반업,,51-03-01+51-03-02+51-20-01+51-20-10+51-20-11+51-20-12+51-21-02+51-22-01+51-23-00+51-24-00+51-25-00+5,,,2011-01-11,031-721-4266,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)명성환경,,경기도 성남시 수정구 산성동 156,37.457064,127.154063,폐기물수집및운반업,,51-00-00,,,2010-06-30,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
아이케이산업개발(주),"경기도 성남시 분당구 야탑로 237, 야탑동, 백마빌딩 401호",,37.407589,127.144998,폐기물수집및운반업,,51-00-00,,,2008-04-08,031-751-8275,경기도 성남시청,2025-12-19,3780000,경기도 성남시
금강환경,"경기도 성남시 중원구 산성대로 106, 3층 B325호(성남동)",,37.444629,127.129582,폐기물수집및운반업,,51-03-01+51-03-02+51-03-03+51-03-04+51-03-99+51-20-21+51-20-22+51-20-23+51-20-24+51-20-25+51-20-26+5,,,2007-11-26,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)평화환경,경기도 성남시 분당구 장미로92번길 13-3 (야탑동),,37.412529,127.131180,폐기물수집및운반업,,51-00-00,,,2005-12-21,031-752-5432,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)대신환경,경기도 성남시 분당구 판교로 790 (야탑동),,37.404829,127.160322,폐기물수집및운반업,,51-00-00,,,2004-02-18,031-745-4695,경기도 성남시청,2025-12-19,3780000,경기도 성남시
㈜우리종합개발,"경기도 성남시 수정구 산성대로 331, 1동 7층 19호(신흥동)",,37.443782,127.152737,폐기물수집및운반업,,51-03-01+51-03-02+51-03-03+51-03-07+51-20-23+51-27-01+51-27-02+51-28-01+51-28-02+51-28-03+51-29-01+5,,,2025-06-24,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
성창환경,"경기도 성남시 중원구 둔촌대로101번길 27, 엠타워 A874호",,37.432138,127.129765,폐기물수집및운반업,,51-03-01+51-03-02+51-03-03+51-03-04+51-03-06+51-03-07+51-03-99+51-07-01+51-07-02+51-15-01+51-15-02+5,,,2024-11-08,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
에스제이환경(주),"경기도 성남시 수정구 위례서일로 34, 8층 804호",,37.464385,127.139500,폐기물수집및운반업,,51-01-06+51-02-01+51-02-03+51-02-04+51-02-99,,,2020-12-30,031-752-1825,경기도 성남시청,2025-12-19,3780000,경기도 성남시
용진철강,"경기도 성남시 수정구 오야로 6, 2층 65호",,37.455132,127.106077,폐기물수집및운반업,,51-03-01+51-20-21+51-20-22+51-20-23+51-20-24+51-20-25+51-20-26+51-20-99+51-28-01+51-28-02+51-28-03+5,,,2018-07-04,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)세창환경,경기도 성남시 수정구 탄천로 687 (태평동),,37.451475,127.119972,폐기물수집및운반업,,51-17-99+51-38-02+51-38-99+51-99-00,,,2020-01-31,031-757-1440,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)더솔,"경기도 성남시 분당구 판교역로192번길 16, 판교타워 7층 703호",,37.397771,127.111439,폐기물수집및운반업,,51-03-01+51-03-02+51-03-03+51-03-04+51-03-06+51-03-07+51-03-08+51-03-99+51-12-01+51-20-21+51-20-22+5,,,2019-09-30,070-7576-1445,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)이안산업개발,"경기도 성남시 분당구 판교공원로2길 20, 3층 (판교동)",,37.389410,127.091875,폐기물수집및운반업,,51-02-99,,,2019-04-25,031-322-0189,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)한국자원트레이드,"경기도 성남시 분당구 수내로 74, 110동 601호",,37.378000,127.118211,폐기물수집및운반업,,51-02-01+51-01-06+51-05-01+51-05-99+51-06-01+51-06-02,,,2018-04-23,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
영진환경(주),"경기도 성남시 중원구 도촌로 32, B01호 (도촌동)",,37.416914,127.151174,폐기물수집및운반업,,51-01-99+51-02-06+51-02-99+51-14-01,,,2018-04-10,031-767-7774,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)위생기업사,"경기도 성남시 중원구 사기막골로 124, 메가동 711호",,37.440022,127.177695,폐기물수집및운반업,,51-38-03,,,2017-10-10,031-751-1007,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)보성씨엔알,"경기도 성남시 분당구 탄천상로 164, 비동 604호",,37.344109,127.105461,폐기물수집및운반업,,51-01-99+51-02-99+51-13-01+51-17-02+51-17-03+51-17-08+51-17-21+51-17-22+51-17-23+51-17-24+51-17-29+5,,,2017-08-25,031-643-2900,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)리오그린텍,"경기도 성남시 중원구 갈마치로 302, A동 16층 1605-2호",,37.440333,127.172640,폐기물수집및운반업,,51-01-02+51-01-04+51-01-06+51-01-08+51-17-02+51-17-07+51-17-19+51-17-29,,,2017-05-25,031-745-3075,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)씨이엘,"경기도 성남시 중원구 둔촌대로457번길 8, 802-2호 (상대원동)",,37.432350,127.168633,폐기물수집및운반업,,51-03-01,,,2017-05-11,031-731-8107,경기도 성남시청,2025-12-19,3780000,경기도 성남시
D.S 환경산업,"경기도 성남시 중원구 둔촌대로101번길 27, 엠타워 836-4호 (성남동)",,37.432121,127.129790,폐기물수집및운반업,,51-03-00+51-18-00+51-20-00+51-27-00+51-29-00,,,2016-08-02,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
㈜더조은환경,"경기도 성남시 수정구 남문로7번길 20-1, 2층 201호 (태평동)",,37.445953,127.127547,폐기물수집및운반업,,51-01-01+51-01-02+51-01-03+51-01-04+51-01-05+51-01-06+51-01-07+51-01-08+51-01-99+51-02-01+51-02-02+5,,,2016-06-01,031-751-2340,경기도 성남시청,2025-12-19,3780000,경기도 성남시
모아 환경자원,"경기도 성남시 수정구 논골로 7, 5층 502호 (단대동)",,37.454794,127.160446,폐기물수집및운반업,,51-00-00,,,2015-09-08,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)청계이브이,경기도 성남시 수정구 고산동길 7 (고등동),,37.425141,127.095595,폐기물수집및운반업,,51-02-03+51-02-04+51-02-99+51-03-01+51-08-01+51-08-02+51-08-03+51-08-04+51-08-05+51-08-06+51-11-01+5,,,2015-01-14,031-759-0078,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)주명개발,"경기도 성남시 중원구 제일로43번길 6, 2층 202호 (성남동)",,37.430982,127.135860,폐기물수집및운반업,,51-20-00,,,2014-12-09,031-722-6377,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)평화환경,경기도 성남시 분당구 장미로92번길 13-3 (야탑동),,37.412512,127.131190,폐기물수집및운반업,,51-00-00,,,2013-09-05,031-752-5432,경기도 성남시청,2025-12-19,3780000,경기도 성남시
삼우환경,,경기도 성남시 중원구 금광동 316,37.444040,127.160569,폐기물수집및운반업,,51-00-00,,,2011-04-05,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
유로통운㈜[사업장배출시설계],"경기도 성남시 분당구 장미로48번길 10, 311호",,37.413082,127.125493,폐기물수집및운반업,,51-00-00,,,2010-09-17,031-701-2278,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)명성환경,,경기도 성남시 수정구 산성동 156,37.457069,127.154057,폐기물수집및운반업,,51-00-00,,,2010-06-30,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)대복환경,"경기도 성남시 중원구 성남대로 1124, 6층 (성남동)",,37.429980,127.129856,폐기물수집및운반업,,51-00-00,,,2010-01-05,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
아이케이산업개발(주),"경기도 성남시 분당구 야탑로 237, 야탑동, 백마빌딩 401호",,37.407577,127.145003,폐기물수집및운반업,,51-00-00,,,2008-04-08,031-751-8275,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)신용,"경기도 성남시 중원구 둔촌대로281번길 3, 3층 301호 (하대원동)",,37.429923,127.149193,폐기물수집및운반업,,51-00-00,,,2007-08-28,031-722-3578,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)한국환경공사,"경기도 성남시 중원구 둔촌대로 145, 2층 (성남동)",,37.429310,127.134937,폐기물수집및운반업,,51-00-00,,,2006-05-26,031-754-0231,경기도 성남시청,2025-12-19,3780000,경기도 성남시
현대자원산업,,경기도 성남시 분당구 야탑동 264-3,37.408658,127.142423,폐기물수집및운반업,,51-00-00,,,2006-05-16,031-704-8997,경기도 성남시청,2025-12-19,3780000,경기도 성남시
(주)대성환경,,"경기도 성남시 중원구 상대원동 517-14, 성남산업단지관리공단 502호",37.432367,127.168625,폐기물수집및운반업,,51-00-00,,,2005-05-06,,경기도 성남시청,2025-12-19,3780000,경기도 성남시
대원환경산업(주),"경기도 성남시 중원구 둔촌대로268번길 19, 2층 (하대원동)",,37.427374,127.148711,폐기물수집및운반업,,51-00-00,,,1998-01-12,031-756-2762,경기도 성남시청,2025-12-19,3780000,경기도 성남시
㈜한국스치로폴,광주광역시 광산구 하남산단천변우로 96(도천동),,35.21488295,126.8143795,폐기물종합재활용업,기타,51-03-06+,전국,,2013-07-08,062-522-0600,광주광역시 광산구청,2025-12-23,6290000,광주광역시
㈜정우화학,광주광역시 광산구 하남산단1번로 33(하남동),,35.18587742,126.7982973,폐기물종합재활용업,기타,51-03-02+51-15-01+51-15-02,전국,,2013-03-06,062-951-8895,광주광역시 광산구청,2025-12-23,6290000,광주광역시
㈜조선우드,광주광역시 광산구 하남산단5번로 99-11(장덕동),,35.19805751,126.8058672,폐기물종합재활용업,기타,51-20-21+51-20-22+51-20-23+51-20-24+51-20-25+51-20-26+51-20-99+40-02-06,전국,,2012-12-06,062-262-6777,광주광역시 광산구청,2025-12-23,6290000,광주광역시
㈜고속에너지,광주광역시 광산구 평동로 987(장록동),,35.1299903,126.7773748,폐기물종합재활용업,기타,51-20-21+51-20-22+51-20-23+51-20-24+51-20-25+51-20-26+51-20-99+51-03-01+51-03-02+51-29-01+40-02-06,전국,,2012-07-27,062-944-5870,광주광역시 광산구청,2025-12-23,6290000,광주광역시
㈜초당산업,광주광역시 광산구 금동학동길 306-16(덕림동),,35.1901422,126.6732882,폐기물종합재활용업,기타,51-20-21+51-20-22+51-20-23+51-20-24+51-20-25+51-20-26+51-20-99,전국,,2012-02-07,062-944-0012,광주광역시 광산구청,2025-12-23,6290000,광주광역시
서일화성,광주광역시 광산구 하남산단3번로 12(장덕동),,35.18831282,126.7954688,폐기물종합재활용업,기타,51-03-01+,전국,,2011-11-04,062-952-3496,광주광역시 광산구청,2025-12-23,6290000,광주광역시
㈜씨씨씨폴리머,광주광역시 광산구 평동산단외로 109(지죽동),,35.13604261,126.754652,폐기물종합재활용업,기타,51-03-01+51-03-08,전국,,2011-09-30,062-384-9996,광주광역시 광산구청,2025-12-23,6290000,광주광역시
(유)호진산업,광주광역시 광산구 북문대로 363-146(신창동),,35.18362521,126.8443026,폐기물중간재활용업,기타,51-03-99+51-20-01+51-20-02+51-20-03+51-20-04+51-20-06+51-20-07+51-20-10+51-20-11+51-20-13+51-20-99,전국,,2023-04-21,,광주광역시 광산구청,2025-12-23,6290000,광주광역시
덕암프라텍,광주광역시 광산구 도천남길 40(도천동),,35.20780436,126.8182299,폐기물중간재활용업,기타,51-03-06+,전국,,2022-07-07,062-962-9127,광주광역시 광산구청,2025-12-23,6290000,광주광역시
대영P&C,광주광역시 광산구 북문대로 341-22(신창동),,35.18859892,126.8537291,폐기물중간재활용업,기타,51-03-03+,전국,,2022-01-11,062-955-5002,광주광역시 광산구청,2025-12-23,6290000,광주광역시
대보자원,광주광역시 광산구 풍영철길로 190-24(운남동),,35.17144132,126.8266589,폐기물중간재활용업,기타,51-03-06+,전국,,2021-03-18,062-959-1230,광주광역시 광산구청,2025-12-23,6290000,광주광역시
주식회사 성신에너지,광주광역시 광산구 평동매화길 5(지죽동),,35.13983376,126.7567711,폐기물중간재활용업,기타,51-03-01+,전국,,2021-03-11,,광주광역시 광산구청,2025-12-23,6290000,광주광역시
오션클린폴리머,광주광역시 광산구 평동산단외로 111-27(지죽동),,35.13686902,126.7542743,폐기물종합재활용업,기타,51-03-01+,전국,,2023-03-08,062-942-9996,광주광역시 광산구청,2025-12-23,6290000,광주광역시
대성이엔비(주),광주광역시 광산구 북문대로420번길 138,,35.19179792,126.8550844,폐기물종합재활용업,기타,51-03-06+,전국,,2022-04-04,062-955-3377,광주광역시 광산구청,2025-12-23,6290000,광주광역시
평동산업자원㈜,광주광역시 광산구 평동산단외로 271(지죽동),,35.14061753,126.7687109,폐기물종합재활용업,기타,51-03-06+,전국,,2019-03-04,062-674-1522,광주광역시 광산구청,2025-12-23,6290000,광주광역시
㈜성신 광주지점,광주광역시 광산구 평동매화길 3-5(지죽동),,35.14022558,126.7565429,폐기물종합재활용업,기타,51-03-06+,전국,,2017-04-17,062-944-9854,광주광역시 광산구청,2025-12-23,6290000,광주광역시
㈜메탈코리아,광주광역시 광산구 평동산단1번로 10(용동),,35.13558247,126.7573891,폐기물종합재활용업,기타,51-03-01+40-02-07,전국,,2016-12-30,062-944-9523,광주광역시 광산구청,2025-12-23,6290000,광주광역시
현대환경(주),광주광역시 광산구 북문대로 342-35(신창동),,35.19126606,126.8556406,폐기물종합재활용업,기타,51-29-02,전국,,2014-08-13,062-714-1466,광주광역시 광산구청,2025-12-23,6290000,광주광역시
